WeekNo,SubsGained
1,18
2,60
3,31
4,56
5,66
6,79
7,63
8,37
9,201
10,207
11,167
12,225
13,183
14,188
15,160
16,152
17,85
18,58
19,142
20,73
21,66
22,138
23,173
24,186
25,170
26,125
27,54
28,73
29,138
30,89
31,108
32,113
33,137
34,191
35,119
36,90
37,89
38,119
39,134
40,90
41,104
42,-12
43,109
44,110
45,105
46,217
47,106
48,109
49,108
50,107
51,108
52,106
53,106
54,108
55,108
56,104
57,0
58,0
59,107
60,0
61,109
62,104
63,0
64,106
65,0
66,0
67,104
68,0
69,0
70,108
71,104
72,108
73,0
74,109
75,106
76,106
77,105
78,213
79,104
80,422
81,329
82,314
83,327
84,421
85,317
86,214
87,317
88,328
89,535
90,525
91,321
92,434
93,417
94,419
95,323
96,638
97,545
98,536
99,749
100,844
101,20738
102,290863
103,189469
104,186064
105,254288
106,83574
107,75720
108,195641
109,258651
110,284029
111,273907
112,268929
113,248906
114,291273
115,293016
116,226411
117,312300
118,306531
119,272565
120,260906
121,272773
122,230716
123,196899
124,149550
125,196725
126,168155
127,159894
128,157349
129,118948
130,128214
131,114995
132,118756
133,149079
134,201434
135,218974
136,194847
137,230507
138,137127
139,139676
140,234795
